trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.98}",20,0,-64.73149032498344,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.96}",20,0,-54.02538725952738,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.94}",25,0,-132.27872413798727,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9199999999999999}",25,0,-79.91237624795876,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.8999999999999999}",30,0,-145.78180170609528,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.8799999999999999}",30,0,-128.21717786581064,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.8599999999999999}",20,0,-79.8298794929605,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.8399999999999999}",25,0,-81.179023928086,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.8199999999999998}",25,12,-44.27420508031342,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.7999999999999998}",20,0,-84.81698660508991,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.7799999999999998}",20,0,-120.32806798209472,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.7599999999999998}",25,0,-94.503597126985,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.7399999999999998}",20,0,-89.79792567561664,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.7199999999999998}",30,0,-91.8624277017305,"{0: 20, 1: 6, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.6999999999999997}",20,0,-42.876627443949666,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.6799999999999997}",25,0,-60.13192498258363,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.6599999999999997}",25,0,-86.83418475642098,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.6399999999999997}",25,0,-104.35024978602448,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.6199999999999997}",35,0,-50.28915491322875,"{0: 27, 1: 3, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.5999999999999996}",25,0,-45.65582284720736,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.5799999999999996}",25,0,-178.16210516936013,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.5599999999999996}",20,9,-30.3445281554162,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.5399999999999996}",25,0,-145.3760582017503,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.5199999999999996}",30,13,-43.17275697292344,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.49999999999999956}",20,0,-2.7183006282478996,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.47999999999999954}",30,11,-8.87187891830843,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.4599999999999995}",20,0,-33.23101257639804,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.4399999999999995}",25,0,-77.3311488162395,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.4199999999999995}",25,0,-101.84148673198185,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.39999999999999947}",30,8,-23.51952492262807,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.37999999999999945}",25,0,-8.43460098581209,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.35999999999999943}",20,0,21.55261602264157,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.3399999999999994}",25,0,-14.444248116908422,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.3199999999999994}",20,4,-69.79028187442067,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
35,False,"{'a': 0.01, 'e': 0.2999999999999994}",30,13,11.19144033255706,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.27999999999999936}",20,2,28.60981765779473,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.25999999999999934}",35,26,19.90384937971559,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.23999999999999935}",25,0,-50.90162135416503,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.21999999999999936}",35,9,5.85476560606572,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.19999999999999937}",25,10,11.3064456405792,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.17999999999999938}",25,0,18.412271983588422,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.1599999999999994}",25,0,14.352889148299987,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.1399999999999994}",30,19,20.39267154094638,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.1199999999999994}",20,9,6.481705879712036,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.0999999999999994}",20,0,19.570650462131937,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.07999999999999939}",25,0,32.319330735327455,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.05999999999999939}",30,7,33.54655441705607,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.03999999999999938}",20,0,15.990965200033301,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,12,29.304853082509474,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,34.8321611303713,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-37.53400978229515,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
