trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5195000000000001, 'e': 0.997004495503373}",20,0,-62.90986082125925,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.519, 'e': 0.9940179640539353}",25,0,-68.20750462397756,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5185000000000001, 'e': 0.9910403787728836}",20,0,-41.2937251837279,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.518, 'e': 0.9880717128619305}",25,0,-159.88217511463537,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5175000000000001, 'e': 0.9851119396030626}",25,0,-239.5681536745635,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
6,False,"{'a': 0.517, 'e': 0.9821610323583008}",20,0,-91.63209479282433,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5165000000000001, 'e': 0.9792189645694596}",25,0,-196.79840727883527,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.516, 'e': 0.9762857097579093}",30,0,-181.301760539306,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5155000000000001, 'e': 0.9733612415243368}",20,0,-103.79743183924285,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.515, 'e': 0.9704455335485082}",35,0,-408.00031234818596,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 7}",0
11,False,"{'a': 0.5145000000000001, 'e': 0.967538559589032}",30,0,-127.4993004682295,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.514, 'e': 0.9646402934831231}",30,7,-59.909858936350346,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5135000000000001, 'e': 0.9617507091463667}",20,0,-112.05048388300705,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.513, 'e': 0.9588697805724845}",20,0,-149.729275404105,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5125000000000001, 'e': 0.9559974818331}",30,0,-135.34823239687282,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.512, 'e': 0.9531337870775047}",25,0,-243.47737475940616,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 5}",0
17,False,"{'a': 0.5115000000000001, 'e': 0.950278670532427}",20,0,-11.729224374463548,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.511, 'e': 0.9474321065017983}",25,0,-168.02375902147025,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5105000000000001, 'e': 0.9445940693665233}",25,0,-183.80418705155805,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.51, 'e': 0.9417645335842487}",25,0,-185.30884757068168,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
21,False,"{'a': 0.5095000000000001, 'e': 0.9389434736891332}",25,0,-68.8128104013165,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.509, 'e': 0.9361308642916188}",30,0,-187.74775298884353,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
23,False,"{'a': 0.5085000000000001, 'e': 0.933326680078202}",30,0,-188.5653748406943,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
24,False,"{'a': 0.508, 'e': 0.9305308958112057}",20,0,-67.84928416721914,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.5075000000000001, 'e': 0.9277434863285529}",35,0,-98.19847801521868,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.507, 'e': 0.9249644265435393}",25,0,-155.17625605633654,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
27,False,"{'a': 0.5065000000000001, 'e': 0.922193691444608}",25,0,-54.912165068839705,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.506, 'e': 0.9194312560951247}",20,0,-93.86013490209021,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
29,False,"{'a': 0.5055000000000001, 'e': 0.9166770956331523}",25,0,-55.18846525946413,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.505, 'e': 0.9139311852712282}",20,0,-86.6777139040092,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.5045000000000001, 'e': 0.9111935002961405}",25,0,-34.80833127672158,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.504, 'e': 0.9084640160687062}",30,0,-199.52123101641496,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
33,False,"{'a': 0.5035000000000001, 'e': 0.9057427080235485}",25,0,-131.49620572164474,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
34,False,"{'a': 0.503, 'e': 0.9030295516688768}",20,0,-67.70406153895735,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5025000000000001, 'e': 0.9003245225862656}",25,0,-211.61322498545928,"{0: 15, 1: 0, 2: 3, 3: 4, 4: 3}",0
36,False,"{'a': 0.502, 'e': 0.8976275964304349}",20,0,-71.22240752240458,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
37,False,"{'a': 0.5015000000000001, 'e': 0.894938748929031}",20,7,-44.70170718327679,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.501, 'e': 0.8922579558824083}",20,0,-115.47401181596501,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 0.5005000000000001, 'e': 0.8895851931634113}",20,0,-92.8011826433524,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-43.179213697922954,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
41,False,"{'a': 0.4995, 'e': 0.8842636625608209}",20,0,-113.07024557315549,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.499, 'e': 0.8816148467834161}",25,0,-244.16007835126032,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 5}",0
43,False,"{'a': 0.4985, 'e': 0.8789739655455832}",25,0,-106.19771936930819,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.498, 'e': 0.8763409950793732}",30,0,-131.97625588078552,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.4975, 'e': 0.8737159116880344}",20,0,-68.96195299537602,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.497, 'e': 0.8710986917457983}",25,0,-68.54897423229421,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
47,False,"{'a': 0.4965, 'e': 0.8684893116976679}",20,0,-107.04360020533487,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.496, 'e': 0.865887748059205}",20,7,6.218954926487924,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.4955, 'e': 0.8632939774163194}",25,0,-147.03291028045666,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 2}",0
50,False,"{'a': 0.495, 'e': 0.8607079764250578}",20,13,13.709484697733643,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.4945, 'e': 0.8581297218113938}",20,0,-40.632497836174636,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
52,False,"{'a': 0.494, 'e': 0.8555591903710185}",30,13,-70.02126780010532,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
53,False,"{'a': 0.4935, 'e': 0.8529963589691315}",30,0,-66.90800779045847,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
54,False,"{'a': 0.493, 'e': 0.850441204540233}",20,0,-46.749618920332765,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
