trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.83170781029102,"{0: 16, 1: 3, 2: 8, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.79626613789665,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.6472440754433,"{0: 7, 1: 0, 2: 10, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.86347810083046,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.48504305087185,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.01501501508324,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-101.62321639870979,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.19726448613963,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.343625094695,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.58435019610798,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-0.11049132317607246,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.77698695644501,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.234624641924,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.25199754416845,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.14604388104729,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.68277199446396,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.012212890959,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.17120689735644,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.04964693154119,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,1,-35.196943970143145,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.75610326762276,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-138.5156044801547,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.43388774083593,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.07286815239272,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.08934242913413,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-76.54225774504599,"{0: 17, 1: 6, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.25700585898967,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.91183840038265,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.5127551730899,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.956255652220634,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
